TIC sector
4135255 47
8347908 52
4606456 45
4135255 44
3801639 49
6923492 45
4743939 49
9155716 60
4839140 48
4897275 48
10149244 49
4386949 60
9097661 42
10111781 49
8915802 48
3645392 45
13961725 57
4298978 60
8003653 46
4197629 60
9759680 42
4512727 45
9991788 60
5808123 43
4513643 60
6890541 45
8917686 48
9171711 60
4164713 60
8766424 48
5550874 43
2514016 45
4606456 60
1043105 48
3942381 48
9758082 42
5644430 42
1044740 48
3800877 47
13208879 57
6087507 45
3033448 44
3901009 49
3813653 49
4431490 60
4559038 44
9267120 60
9061195 50
3662563 45
4622906 60
1027928 46
2778003 44
4624167 60
4559038 46
9455301 49
9697711 42
2772825 43
6373531 45
991159 46
6851903 45
8293280 48
6139539 43
11672688 60
1027928 48
4555425 44
1629601 46
1758607 46
4606456 47
4988960 48
4606456 46
4162799 60
4286321 60
4612575 42
4135255 45
9726026 42
4303048 60
6923492 44
8502091 51
2514016 43
8502091 52
11893637 48
9708387 42
4606456 44
9791889 42
4667786 49
8854965 48
6923492 46
9262364 60
5808123 45
11595883 60
8770294 48
4891290 48
4732019 49
10166012 49
7985934 45
4287299 60
4559038 60
4429921 60
4077772 60
4989397 48
10359202 52
6139539 45
887930 42
4488824 60
9062134 42
6851903 43
6087507 43
4431490 46
4431490 47
8688061 48
3962570 50
9632688 42
12723842 42
5888523 45
8967242 48
13887808 57
3806888 49
4694453 49
9596048 52
8262242 48
3662563 46
4197800 60
990206 46
10022750 60
3662563 44
913056 42
2778003 45
9881718 60
9958381 60
9728611 52
13283038 57
4559038 45
8996742 42
3033448 45
6087507 44
8003653 45
3645392 46
2514016 44
1008115 45
13028893 57
8622403 51
6890541 44
6890541 46
8988748 42
15757189 43
17200600 44
15654820 57
15531891 57
16377531 44
14770598 44
14330904 43
17066154 57
6924518 44
17676722 46
17418956 44
18373258 44
17415269 43
17339628 43
17144636 43
18225199 57
14344362 46
18277257 57
20539250 44
16039321 43
17817705 44
20225097 45
18224448 57
20539250 46
17676722 44
6924518 46
18310799 44
18585208 43
16037225 44
16376918 45
15552721 57
16872867 57
18583347 44
19064309 46
4431490 44
20182165 50
17232188 44
15733892 44
14601264 46
15552664 57
19064309 44
6924828 45
16886256 50
17379221 51
14330904 42
17307715 43
15733892 43
17232188 43
15733670 43
20420376 46
18583347 43
14342121 46
15736408 43
19028197 46
20212277 50
16489072 46
17750577 51
9791268 42
20212683 50
60950167 45
61097894 50
60998845 43
61101267 45
59843967 33
60876518 43
60862986 35
60605454 43
59545062 43
61102751 45
61115796 43
61105191 42
60253935 46
61100890 46
61101267 46
60887537 46
61084022 42
60776796 46
59599335 46
61017000 42
288431277 51
287035347 50
287298969 30
294205275 30
287818063 50
284763085 51
293271232 30
287488930 30
60885255 46
293265657 42
287776397 30
289536553 51
287426689 30
229797764 50
288603254 51
288516176 50
285143017 50
288514307 50
287054676 50
292115251 50
284763085 50
284481031 50
287197149 50
288347732 51
288636342 51
293303829 42
288735742 51
293265536 42
284856863 51
293519096 42
293405768 42
289540793 51
288609401 51
289622310 51
1201307286 51
287959210 51
1204673951 51
1551711135 51
284353929 51
